TransactionID,TransactionDate,PreviousTransactionDate,AccountID,CustomerAge,CustomerOccupation,RecipientAccountID,TransactionAmount,AccountBalance,TransactionType,Channel,Location,Location_Original_US,BPS_RegionCode,DeviceID,IP Address,MerchantID,TransactionDuration,LoginAttempts,IsFraud,FraudType,ThreatIntel_Flag,AnalystStatus
TX000012,2024-11-04 8:07:12,2023-02-06 17:30:00,AC00459,21.0,Student,REC-0186,190.02,1528.81,Debit,Online,Banjarmasin,Memphis,6371,D000589,116.175.11.222,M030,173.0,1.0,0,None,False,Auto-Approved
TX000013,2024-11-04 8:08:38,2023-06-07 17:21:28,AC00392,24.0,Student,REC-0296,494.52,1620.02,Credit,Branch,Semarang,Mesa,3374,D000032,210.98.198.143,M057,111.0,1.0,0,None,False,Auto-Approved
TX000014,2024-11-04 8:07:06,2023-11-20 16:39:15,AC00264,26.0,Student,REC-0099,781.76,189.69,Debit,ATM,Banjarmasin,Memphis,6371,D000054,193.83.0.183,M025,123.0,1.0,0,None,False,Auto-Approved
TX000015,2024-11-04 8:10:09,2023-02-13 16:53:57,AC00085,18.0,Student,REC-0036,166.99,299.93,Debit,Online,Jambi,Louisville,1571,D000309,188.124.181.12,M017,134.0,1.0,0,None,False,Auto-Approved
TX000016,2024-11-04 8:12:19,2023-12-12 16:23:31,AC00270,36.0,Engineer,REC-0024,465.45,3465.54,Debit,ATM,Palembang,Denver,1671,D000466,221.169.49.152,M025,129.0,1.0,0,None,False,Cleared
TX000017,2024-11-04 8:07:35,2023-10-30 16:52:49,AC00317,19.0,Student,REC-0117,555.8,1131.26,Credit,Branch,Bogor,Austin,3271,D000671,53.218.177.171,M048,158.0,1.0,0,None,False,Auto-Approved
TX000018,2024-11-04 8:11:51,2023-12-14 18:32:14,AC00359,39.0,Engineer,REC-0149,492.93,5109.97,Debit,Online,Kendari,Columbus,7471,D000432,114.223.129.47,M059,234.0,1.0,0,None,True,Auto-Approved
TX000019,2024-11-04 8:12:01,2023-02-21 16:56:50,AC00242,59.0,Retired,REC-0041,18.68,7948.37,Credit,Branch,Bandar Lampung,Albuquerque,1871,D000530,93.218.115.132,M054,106.0,1.0,0,None,False,Auto-Approved
TX000020,2024-11-04 8:09:20,2023-06-08 18:18:50,AC00285,18.0,Student,REC-0120,71.48,6568.59,Credit,Online,Kendari,Columbus,7471,D000039,120.170.93.69,M039,169.0,1.0,0,None,True,Cleared
TX000021,2024-11-04 8:09:24,2023-02-28 16:36:58,AC00002,71.0,Retired,REC-0052,59.32,5750.89,Debit,Branch,Denpasar,Los Angeles,5171,D000152,116.44.12.250,M040,38.0,1.0,0,None,True,Auto-Approved
TX000022,2024-11-04 8:08:13,2023-08-11 18:31:31,AC00014,38.0,Doctor,REC-0195,85.77,9146.19,Debit,Branch,Balikpapan,Las Vegas,6471,D000268,59.132.247.252,M065,93.0,1.0,0,None,True,Auto-Approved
TX000023,2024-11-04 8:07:01,2023-06-06 18:54:15,AC00095,39.0,Engineer,REC-0143,52.2,8974.93,Debit,Online,Banda Aceh,Atlanta,1171,D_UNKNOWN,133.63.96.21,M022,120.0,1.0,0,None,True,Auto-Approved
TX000024,2024-11-04 8:07:04,2023-05-02 18:25:46,AC00453,22.0,Student,REC-RING006,345.84,1402.5,Debit,Online,Yogyakarta,Fort Worth,3471,D000162,191.82.103.198,M083,142.0,3.0,1,Account Takeover (ATO),True,Closed-Confirmed Fraud
TX000025,2024-11-04 8:07:09,2023-03-02 16:43:56,AC00241,21.0,Student,REC-0084,145.54,1930.96,Debit,Online,Mataram,Raleigh,5271,D000036,119.186.154.104,M028,96.0,1.0,0,None,False,Auto-Approved
TX000026,2024-11-04 8:09:44,2023-10-20 17:53:13,AC00041,65.0,Retired,REC-0190,7.49,3634.67,Credit,Online,Jakarta Utara,Houston,3175,D000671,81.248.235.147,M043,276.0,1.0,0,None,False,Auto-Approved
TX000027,2024-11-04 8:11:38,2023-04-17 16:37:01,AC00441,23.0,Student,REC-0182,246.93,673.35,Debit,ATM,Padang,Miami,1371,D000046,55.154.161.250,M029,158.0,5.0,0,None,False,Auto-Approved
TX000028,2024-11-04 8:11:59,2023-03-29 16:42:38,AC00057,37.0,Engineer,REC-0108,40.32,2686.52,Debit,Branch,Batam,Milwaukee,2171,D000310,21.28.32.1,M008,95.0,1.0,0,None,False,Auto-Approved
TX000029,2024-11-04 8:11:22,2023-01-24 16:18:32,AC00390,44.0,Doctor,REC-0137,127.45,1772.06,Debit,Online,Balikpapan,Las Vegas,6471,D000232,152.234.65.155,M092,197.0,1.0,0,None,True,Auto-Approved
TX000030,2024-11-04 8:08:30,2023-09-20 16:55:42,AC00313,27.0,Student,REC-0037,56.17,1351.69,Debit,Branch,Jakarta Timur,Detroit,3172,D000297,33.28.138.82,M043,283.0,1.0,0,None,False,Auto-Approved
TX000031,2024-11-04 8:09:17,2023-07-17 17:49:22,AC00367,59.0,Doctor,REC-0088,28.31,8334.47,Credit,Online,Padang,Miami,1371,D000587,35.67.21.23,M091,20.0,1.0,0,None,False,Auto-Approved
TX000032,2024-11-04 8:06:58,2023-02-06 16:24:24,AC00291,29.0,Doctor,REC-0274,59.12,9823.64,Debit,ATM,Makassar,Baltimore,7371,D000282,187.199.178.27,M053,257.0,1.0,0,None,False,Auto-Approved
TX000033,2024-11-04 8:11:13,2023-09-25 16:26:00,AC00060,49.0,Engineer,REC-0126,396.45,9690.15,Debit,ATM,Kupang,New York,5371,D000621,133.67.250.163,M007,168.0,3.0,0,None,False,Auto-Approved
TX000034,2024-11-04 8:07:50,2023-03-13 17:23:24,AC00359,22.0,Student,REC-0084,877.81,399.0,Debit,Online,Denpasar,Los Angeles,5171,D000111,134.140.85.231,M094,150.0,1.0,0,None,False,Auto-Approved
TX000035,2024-11-04 8:10:51,2023-10-27 16:42:49,AC00365,45.0,Doctor,REC-0237,255.26,14815.87,Credit,Branch,Pontianak,San Francisco,6171,D000357,92.214.76.157,M002,50.0,1.0,0,None,False,Auto-Approved
TX000036,2024-11-04 8:06:23,2023-10-16 16:32:56,AC00267,49.0,Engineer,REC-0195,124.76,5764.72,Debit,Branch,Palangka Raya,Seattle,6271,D000042,59.145.242.13,M002,45.0,1.0,0,None,False,Auto-Approved
TX000037,2024-11-04 8:12:18,2023-11-21 16:58:44,AC00404,26.0,Student,REC-0139,78.13,900.61,Debit,Branch,Batam,Milwaukee,2171,D000250,33.28.138.82,M028,145.0,1.0,0,None,False,Cleared
TX000038,2024-11-04 8:11:15,2023-03-02 17:53:32,AC00202,75.0,Retired,REC-0286,649.28,4875.86,Debit,ATM,Pekanbaru,San Jose,1471,D000448,73.108.76.238,M074,137.0,1.0,0,None,False,Auto-Approved
TX000039,2024-11-04 8:11:17,2023-10-12 17:07:40,AC00478,66.0,Doctor,REC-0113,795.31,7914.88,Debit,ATM,Semarang,Mesa,3374,D000077,49.29.37.185,M048,90.0,2.0,0,None,True,Auto-Approved
TX000040,2024-11-04 8:07:32,2023-01-24 17:17:20,AC00405,55.0,Retired,REC-0167,335.63,1019.39,Debit,Online,Bengkulu,Oklahoma City,1771,D000038,49.20.211.229,M040,216.0,1.0,0,None,False,Auto-Approved
TX000041,2024-11-04 8:07:31,2023-07-31 18:39:50,AC00421,63.0,Retired,REC-0029,328.47,4323.66,Debit,ATM,Surakarta,San Antonio,3372,D000557,6.234.101.35,M014,119.0,1.0,0,None,False,Cleared
TX000042,2024-11-04 8:11:45,2023-01-09 16:13:21,AC00480,38.0,Doctor,REC-0118,34.02,14214.48,Debit,Online,Ambon,Philadelphia,8171,D000627,109.105.179.186,M046,19.0,1.0,0,None,False,Auto-Approved
TX000043,2024-11-04 8:09:03,2023-04-20 18:57:43,AC00120,57.0,Doctor,REC-0017,241.42,13357.02,Credit,Online,Palu,Charlotte,7271,D000198,60.89.202.192,M044,116.0,1.0,0,None,False,Auto-Approved
TX000044,2024-11-04 8:08:03,2023-04-12 16:03:37,AC00117,19.0,Student,REC-0162,55.32,241.79,Debit,ATM,Jakarta Barat,Tucson,3173,D000197,173.135.78.201,M009,117.0,1.0,0,None,False,Auto-Approved
TX000045,2024-11-04 8:09:53,2023-07-26 16:52:28,AC00011,27.0,Student,REC-0206,304.31,868.61,Debit,Branch,Jambi,Louisville,1571,D000685,77.208.193.198,M005,33.0,1.0,0,None,False,Auto-Approved
TX002513,2024-11-04 8:11:12,2023-10-04 17:49:29,AC00401,74.0,Retired,REC-0138,435.27,4673.28,Debit,Branch,Jakarta Pusat,Chicago,3171,D000297,197.162.55.147,M051,90.0,1.0,0,None,False,Auto-Approved
TX000047,2024-11-04 8:10:33,2023-12-13 16:01:38,AC00282,26.0,Student,REC-0034,164.49,1509.27,Debit,Branch,Makassar,Baltimore,7371,D000103,113.115.81.178,M070,75.0,1.0,0,None,False,Auto-Approved
TX000048,2024-11-04 8:11:35,2023-10-09 16:29:40,AC00439,19.0,Student,REC-0109,510.24,781.7,Debit,Online,Bengkulu,Oklahoma City,1771,D000397,186.135.2.148,M090,105.0,1.0,0,None,False,Auto-Approved
TX000049,2024-11-04 8:07:24,2023-11-27 16:45:57,AC00296,26.0,Student,REC-0291,626.9,265.51,Debit,Online,Palembang,Denver,1671,D000284,93.146.251.20,M023,138.0,1.0,0,None,False,Auto-Approved
TX000050,2024-11-04 8:06:31,2023-03-27 16:45:18,AC00471,41.0,Engineer,REC-0162,22.01,1335.09,Credit,Online,Jayapura,Sacramento,9471,D_UNKNOWN,124.6.134.78,M055,175.0,1.0,0,None,True,Auto-Approved
TX000051,2024-11-04 8:07:07,2023-02-13 16:59:39,AC00159,69.0,Retired,REC-0109,425.34,3907.54,Credit,Online,Samarinda,Kansas City,6472,D000661,139.23.212.102,M040,121.0,1.0,0,None,False,Auto-Approved
TX000052,2024-11-04 8:07:07,2023-02-21 17:45:55,AC00482,51.0,Engineer,REC-0256,424.56,5183.85,Debit,Online,Surabaya,Omaha,3578,D000598,179.43.245.131,M015,264.0,1.0,0,None,False,Auto-Approved
TX000053,2024-11-04 8:06:45,2023-06-07 16:45:34,AC00115,67.0,Doctor,REC-0203,85.43,14904.9,Debit,Branch,Bandung,Virginia Beach,3273,D000235,194.174.252.1,M078,145.0,1.0,0,None,False,Auto-Approved
TX000054,2024-11-04 8:08:58,2023-09-07 16:51:27,AC00055,28.0,Student,REC-0235,169.5,918.88,Debit,Branch,Tangerang Selatan,San Diego,3674,D000442,42.219.228.159,M036,142.0,1.0,0,None,False,Cleared
TX000055,2024-11-04 8:10:42,2023-03-29 17:47:16,AC00419,62.0,Retired,REC-0074,104.63,4477.78,Debit,ATM,Surabaya,Omaha,3578,D000642,186.135.2.148,M095,90.0,1.0,0,None,False,Auto-Approved
TX000056,2024-11-04 8:09:15,2023-08-04 17:53:40,AC00374,25.0,Student,REC-0136,316.95,1324.03,Debit,Branch,Semarang,Mesa,3374,D000013,81.102.230.41,M052,83.0,1.0,0,None,False,Auto-Approved
TX000057,2024-11-04 8:09:57,2023-12-14 17:52:37,AC00271,57.0,Retired,REC-0072,60.54,3534.93,Credit,Branch,Kendari,Columbus,7471,D000462,1.198.76.182,M095,52.0,1.0,0,None,False,Auto-Approved
TX000058,2024-11-04 8:07:49,2023-03-03 17:37:41,AC00456,68.0,Retired,REC-0127,292.56,4638.37,Credit,Branch,Tangerang,Dallas,3603,D000311,198.73.211.114,M075,61.0,1.0,0,None,False,Auto-Approved
TX000059,2024-11-04 8:07:09,2023-06-09 16:18:15,AC00143,48.0,Engineer,REC-0288,386.52,5630.61,Debit,Branch,Depok,Indianapolis,3276,D000145,186.54.68.246,M064,28.0,1.0,0,None,False,Cleared
TX000060,2024-11-04 8:11:37,2023-10-02 16:35:22,AC00427,23.0,Student,REC-0276,112.07,930.3,Debit,Branch,Samarinda,Kansas City,6472,D000089,198.166.198.233,M064,51.0,1.0,0,None,False,Auto-Approved
TX000061,2024-11-04 8:11:37,2023-10-06 18:44:37,AC00438,46.0,Engineer,REC-0135,568.52,5499.91,Debit,ATM,Depok,Indianapolis,3276,D000233,27.143.109.203,M094,152.0,1.0,0,None,False,Auto-Approved
TX000062,2024-11-04 8:11:03,2023-05-16 16:07:30,AC00002,79.0,Retired,REC-0300,263.99,4175.02,Debit,Branch,Tangerang,Dallas,3603,D000285,7.146.35.122,M087,227.0,2.0,0,None,False,Auto-Approved
TX000063,2024-11-04 8:08:09,2023-11-07 16:48:23,AC00425,48.0,Engineer,REC-0220,349.64,6651.62,Debit,Online,Balikpapan,Las Vegas,6471,D000516,9.230.41.239,M097,226.0,1.0,0,None,False,Auto-Approved
TX000064,2024-11-04 8:08:01,2023-05-30 17:43:25,AC00325,56.0,Engineer,REC-0299,601.4,8458.29,Credit,Branch,Ambon,Philadelphia,8171,D000548,125.225.212.244,M001,104.0,1.0,0,None,False,Auto-Approved
TX000065,2024-11-04 8:11:32,2023-11-02 16:01:40,AC00434,50.0,Doctor,REC-0205,5.77,13988.12,Debit,Online,Palu,Charlotte,7271,D000461,155.164.18.235,M071,124.0,1.0,0,None,True,Auto-Approved
TX000066,2024-11-04 8:11:41,2023-03-29 17:00:31,AC00242,42.0,Engineer,REC-0186,201.33,2585.07,Credit,Branch,Manado,Nashville,7171,D000098,145.246.171.225,M003,186.0,1.0,0,None,True,Cleared
TX000067,2024-11-04 8:10:12,2023-04-25 16:11:24,AC00319,56.0,Retired,REC-0113,298.42,3014.75,Debit,Branch,Depok,Indianapolis,3276,D000435,92.214.76.157,M005,225.0,1.0,0,None,False,Auto-Approved
TX000068,2024-11-04 8:12:10,2023-04-18 18:40:47,AC00460,25.0,Student,REC-0071,521.06,1951.42,Debit,Branch,Bandar Lampung,Albuquerque,1871,D000305,131.41.45.13,M063,128.0,1.0,0,None,True,Auto-Approved
TX000069,2024-11-04 8:07:11,2023-02-09 16:34:53,AC00461,60.0,Engineer,REC-0261,117.28,3665.77,Credit,Online,Bogor,Austin,3271,D000128,46.150.175.171,M057,16.0,1.0,0,None,False,Auto-Approved
TX000070,2024-11-04 8:08:42,2023-11-13 16:42:28,AC00395,32.0,Engineer,REC-0253,189.12,977.01,Credit,Branch,Depok,Indianapolis,3276,D000684,125.89.163.224,M040,103.0,1.0,0,None,False,Auto-Approved
TX000071,2024-11-04 8:10:18,2023-07-18 16:12:00,AC00217,44.0,Engineer,REC-0047,133.55,3846.28,Debit,ATM,Banda Aceh,Atlanta,1171,D000201,40.226.196.34,M091,220.0,1.0,0,None,False,Auto-Approved
TX000072,2024-11-04 8:09:26,2023-01-13 17:00:16,AC00053,35.0,Engineer,REC-0025,143.21,6374.82,Debit,Online,Tangerang,Dallas,3603,D000410,65.164.3.100,M066,135.0,1.0,0,None,True,Auto-Approved
TX000073,2024-11-04 8:12:15,2023-07-04 18:20:33,AC00282,62.0,Retired,REC-0057,24.77,5866.01,Debit,ATM,Malang,Boston,3573,D000180,9.230.41.239,M070,55.0,1.0,0,None,False,Auto-Approved
TX000074,2024-11-04 8:08:45,2023-10-20 16:54:28,AC00110,26.0,Student,REC-0079,233.92,6537.62,Credit,Online,Solo,Jacksonville,3372,D000295,152.140.239.181,M046,280.0,1.0,0,None,False,Auto-Approved
TX000075,2024-11-04 8:06:51,2023-10-04 16:36:29,AC00265,20.0,Student,REC-RING011,1212.51,605.95,Debit,Branch,Depok,Indianapolis,3276,D000231,193.83.0.183,M036,24.0,1.0,1,Identity Theft,False,Closed-Confirmed Fraud
TX000076,2024-11-04 8:09:17,2023-12-28 17:31:03,AC00239,37.0,Engineer,REC-0217,232.12,6689.87,Debit,ATM,Medan,Unknown,1275,D000073,156.173.170.140,M066,51.0,1.0,0,None,False,Auto-Approved
TX000077,2024-11-04 8:08:22,2023-06-12 17:53:52,AC00007,22.0,Student,REC-0033,211.36,634.17,Debit,Online,Samarinda,Kansas City,6472,D000070,60.153.124.80,M060,113.0,1.0,0,None,False,Auto-Approved
TX000078,2024-11-04 8:11:36,2023-03-13 16:32:12,AC00022,44.0,Doctor,REC-0198,91.53,14676.05,Debit,Branch,Batam,Milwaukee,2171,D000363,94.37.250.128,M095,69.0,1.0,0,None,False,Cleared
TX000079,2024-11-04 8:06:50,2023-12-18 18:46:27,AC00464,19.0,Student,REC-0196,120.29,1362.39,Debit,Branch,Padang,Miami,1371,D000561,162.198.218.92,M045,77.0,1.0,0,None,False,Cleared
TX000080,2024-11-04 8:10:29,2023-07-17 18:54:31,AC00014,50.0,Doctor,REC-0240,174.25,10528.34,Debit,Online,Palangka Raya,Seattle,6271,D000375,130.92.201.49,M032,67.0,1.0,0,None,False,Auto-Approved
TX000081,2024-11-04 8:09:51,2023-06-19 18:22:10,AC00406,38.0,Engineer,REC-0271,183.71,552.52,Debit,ATM,Palembang,Denver,1671,D000488,86.103.2.29,M074,102.0,1.0,0,None,False,Auto-Approved
TX000082,2024-11-04 8:08:16,2023-06-19 18:22:10,AC00445,58.0,Engineer,REC-0129,345.39,6451.96,Credit,Branch,Jakarta Selatan,Phoenix,3174,D000097,131.41.45.13,M081,80.0,1.0,0,None,False,Cleared
TX000083,2024-11-04 8:11:07,2023-01-23 16:32:48,AC00236,63.0,Retired,REC-0284,922.55,4715.84,Debit,ATM,Jakarta Timur,Detroit,3172,D000206,21.97.154.92,M004,87.0,1.0,0,None,False,Auto-Approved
TX000084,2024-11-04 8:09:38,2023-11-06 16:34:10,AC00220,49.0,Doctor,REC-0006,259.91,7176.86,Debit,Online,Palembang,Denver,1671,D000616,36.13.239.172,M028,170.0,1.0,0,None,False,Cleared
TX000085,2024-11-04 8:09:42,2023-07-03 16:40:24,AC00140,34.0,Doctor,REC-0059,154.71,1523.72,Debit,Online,Tangerang Selatan,San Diego,3674,D000494,167.104.180.235,M030,157.0,1.0,0,None,True,Auto-Approved
TX000086,2024-11-04 8:06:53,2023-09-29 17:22:10,AC00098,54.0,Engineer,REC-0275,1340.19,8654.28,Credit,Online,Bogor,Austin,3271,D000574,165.114.224.47,M012,30.0,1.0,0,None,False,Auto-Approved
TX000087,2024-11-04 8:12:05,2023-10-20 17:27:35,AC00303,64.0,Doctor,REC-0137,24.56,9869.93,Debit,Branch,Semarang,Mesa,3374,D000428,16.131.3.140,M033,69.0,1.0,0,None,True,Cleared
TX000088,2024-11-04 8:07:32,2023-08-28 17:03:53,AC00373,48.0,Doctor,REC-0175,568.07,10556.81,Debit,ATM,Bekasi,Washington,3275,D000018,8.243.4.138,M054,115.0,1.0,0,None,False,Auto-Approved
TX000089,2024-11-04 8:09:10,2023-06-22 18:37:29,AC00438,58.0,Doctor,REC-0058,9.61,12883.91,Credit,Online,Tangerang Selatan,San Diego,3674,D000453,132.127.5.187,M043,179.0,1.0,0,None,False,Auto-Approved
TX000090,2024-11-04 8:08:38,2023-11-20 16:28:09,AC00437,24.0,Student,REC-0151,392.96,791.65,Debit,Online,Samarinda,Kansas City,6472,D000141,186.54.68.246,M022,100.0,1.0,0,None,False,Auto-Approved
TX000091,2024-11-04 8:08:12,2023-09-14 16:49:33,AC00106,60.0,Retired,REC-0223,716.93,4064.02,Credit,Online,Batam,Milwaukee,2171,D000322,101.223.82.253,M052,34.0,1.0,0,None,False,Auto-Approved
TX000092,2024-11-04 8:08:01,2023-10-02 16:36:10,AC00310,53.0,Engineer,REC-0081,223.85,2929.91,Debit,ATM,Samarinda,Kansas City,6472,D000481,133.223.159.151,M009,55.0,4.0,0,None,False,Auto-Approved
TX000093,2024-11-04 8:10:44,2023-03-27 18:16:04,AC00149,21.0,Student,REC-0233,230.66,618.05,Debit,Branch,Jakarta Utara,Houston,3175,D000526,60.43.160.195,M049,135.0,1.0,0,None,True,Auto-Approved
TX000094,2024-11-04 8:08:21,2023-12-21 16:37:03,AC00373,19.0,Student,REC-0002,442.12,1375.8,Debit,Online,Denpasar,Los Angeles,5171,D000645,168.36.49.167,M047,260.0,1.0,0,None,False,Auto-Approved
TX000095,2024-11-04 8:08:04,2023-03-02 16:05:09,AC00425,29.0,Engineer,REC-0135,644.17,1143.52,Debit,ATM,Surakarta,San Antonio,3372,D000178,165.38.56.205,M093,72.0,1.0,0,None,False,Cleared
TX000096,2024-11-04 8:09:32,2023-06-26 16:16:50,AC00010,51.0,Engineer,REC-0257,508.68,7708.41,Credit,Branch,Semarang,Mesa,3374,D000622,193.108.17.115,M048,127.0,1.0,0,None,False,Auto-Approved
TX000097,2024-11-04 8:10:47,2023-04-18 17:27:23,AC00348,27.0,Student,REC-0092,858.63,1872.96,Credit,Branch,Pontianak,San Francisco,6171,D000019,175.230.206.232,M002,185.0,1.0,0,None,False,Auto-Approved
TX000098,2024-11-04 8:11:05,2023-07-17 17:08:24,AC00011,57.0,Engineer,REC-0260,25.36,201.04,Debit,ATM,Jambi,Louisville,1571,D000192,62.152.134.92,M007,78.0,1.0,0,None,False,Auto-Approved
TX000099,2024-11-04 8:07:22,2023-09-01 17:26:02,AC00453,71.0,Retired,REC-0055,147.62,2115.8,Debit,Branch,Palu,Charlotte,7271,D000093,149.84.108.18,M028,133.0,1.0,0,None,False,Cleared
TX000100,2024-11-04 8:08:38,2023-09-11 16:19:04,AC00178,37.0,Doctor,REC-0153,115.02,7643.66,Debit,Branch,Surakarta,San Antonio,3372,D000528,134.222.122.238,M004,175.0,1.0,0,None,False,Auto-Approved
TX000101,2024-11-04 8:11:07,2023-01-24 17:23:56,AC00265,30.0,Engineer,REC-0260,383.37,8901.93,Debit,Branch,Yogyakarta,Fort Worth,3471,D000321,18.72.115.111,M066,24.0,1.0,0,None,False,Cleared
TX002514,2024-11-04 8:10:02,2023-08-11 16:18:46,AC00018,20.0,Student,REC-0102,98.54,9383.43,Credit,Online,Sorong,El Paso,9271,D000528,34.125.226.63,M095,167.0,1.0,0,None,False,Cleared
TX000103,2024-11-04 8:10:52,2023-10-16 18:35:11,AC00075,55.0,Doctor,REC-0079,83.24,1181.31,Debit,Branch,Yogyakarta,Fort Worth,3471,D000607,21.28.32.1,M009,164.0,1.0,0,None,False,Cleared
TX000104,2024-11-04 8:08:32,2023-02-24 16:29:23,AC00464,27.0,Engineer,REC-0192,196.16,9418.86,Debit,Branch,Bandung,Virginia Beach,3273,D000164,204.34.243.93,M099,146.0,1.0,0,None,False,Auto-Approved
TX000105,2024-11-04 8:06:35,2023-01-02 16:36:02,AC00170,32.0,Engineer,REC-0083,129.94,7954.92,Debit,ATM,Balikpapan,Las Vegas,6471,D000647,111.226.226.202,M045,235.0,1.0,0,None,False,Auto-Approved
TX000106,2024-11-04 8:10:48,2023-11-30 16:31:03,AC00235,46.0,Engineer,REC-0277,306.9,9418.08,Debit,Online,Tangerang Selatan,Colorado Springs,3674,D000078,96.115.67.230,M047,51.0,1.0,0,None,False,Cleared
TX000107,2024-11-04 8:09:24,2023-11-01 16:52:01,AC00013,59.0,Retired,REC-0272,114.98,6144.68,Debit,Online,Palangka Raya,Seattle,6271,D000182,115.218.48.83,M032,80.0,1.0,0,None,False,Auto-Approved
TX000108,2024-11-04 8:11:40,2023-03-06 16:47:02,AC00397,27.0,Student,REC-0166,756.59,420.65,Debit,Branch,Jayapura,Sacramento,9471,D000028,174.61.77.54,M012,17.0,1.0,1,Card Cloning,False,Investigating
TX000109,2024-11-04 8:09:22,2023-11-27 18:32:49,AC00423,22.0,Student,REC-RING002,503.76,447.82,Debit,Online,Denpasar,Los Angeles,5171,D000518,216.151.64.40,M083,35.0,1.0,1,Account Takeover (ATO),True,Closed-Confirmed Fraud
TX000110,2024-11-04 8:10:42,2023-07-31 16:37:46,AC00154,63.0,Retired,REC-0186,143.03,7981.45,Debit,ATM,Surakarta,San Antonio,3372,D000469,197.162.55.147,M055,147.0,1.0,0,None,False,Auto-Approved
TX002515,2024-11-04 8:07:35,2023-11-22 16:13:39,AC00068,53.0,Retired,REC-0158,1045.22,1829.9,Debit,ATM,Kendari,Columbus,7471,D000400,77.7.223.184,M077,73.0,1.0,0,None,False,Cleared
TX000112,2024-11-04 8:10:26,2023-03-21 16:29:31,AC00318,25.0,Student,REC-0123,245.54,985.06,Debit,ATM,Kupang,New York,5371,D000536,44.197.126.59,M089,180.0,1.0,0,None,False,Auto-Approved
TX000113,2024-11-04 8:06:56,2023-04-20 18:26:50,AC00396,51.0,Engineer,REC-0030,254.37,8849.26,Credit,Online,Tangerang,Dallas,3603,D000477,143.212.47.226,M012,174.0,1.0,0,None,False,Cleared
TX000114,2024-11-04 8:09:36,2023-03-01 17:52:14,AC00121,78.0,Retired,REC-0124,213.76,3528.72,Credit,ATM,Tangerang,Dallas,3603,D000574,51.250.122.123,M009,282.0,1.0,0,None,False,Auto-Approved
TX000115,2024-11-04 8:06:30,2023-02-10 16:52:48,AC00336,40.0,Engineer,REC-0291,327.86,480.16,Debit,Online,Jakarta Utara,Fresno,3175,D000655,188.124.181.12,M051,104.0,1.0,0,None,False,Auto-Approved
