CaseID,TransactionID,TransactionDate,AccountID,RecipientAccountID,TransactionAmount,Location,BPS_RegionCode,IsFraud,FraudType,AnalystStatus,RecommendedDecision_Seed,ReviewPriority_Seed,SLAHours_Seed,EscalationTeam_Seed,ThreatIntelFlagInt,FraudScore_Probability_Seed,RuleRiskLevel,Split
CASE-000065,TX000065,2024-11-04 8:11:32,AC00434,REC-0205,5.77,Palu,7271,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3528,medium,test
CASE-000066,TX000066,2024-11-04 8:11:41,AC00242,REC-0186,201.33,Manado,7171,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.5148,high,train
CASE-000067,TX000067,2024-11-04 8:10:12,AC00319,REC-0113,298.42,Depok,3276,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0863,low,test
CASE-000068,TX000068,2024-11-04 8:12:10,AC00460,REC-0071,521.06,Bandar Lampung,1871,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4034,medium,train
CASE-000069,TX000069,2024-11-04 8:07:11,AC00461,REC-0261,117.28,Bogor,3271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2764,medium,train
CASE-000070,TX000070,2024-11-04 8:08:42,AC00395,REC-0253,189.12,Depok,3276,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0902,low,train
CASE-000071,TX000071,2024-11-04 8:10:18,AC00217,REC-0047,133.55,Banda Aceh,1171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1431,low,train
CASE-000072,TX000072,2024-11-04 8:09:26,AC00053,REC-0025,143.21,Tangerang,3603,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.3867,medium,train
CASE-000073,TX000073,2024-11-04 8:12:15,AC00282,REC-0057,24.77,Malang,3573,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.072,low,train
CASE-000074,TX000074,2024-11-04 8:08:45,AC00110,REC-0079,233.92,Solo,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2674,medium,validation
CASE-000075,TX000075,2024-11-04 8:06:51,AC00265,REC-RING011,1212.51,Depok,3276,1,Identity Theft,Closed-Confirmed Fraud,block_and_freeze,P2,8,KYC Compliance,0,0.6986,high,test
CASE-000076,TX000076,2024-11-04 8:09:17,AC00239,REC-0217,232.12,Medan,1275,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2723,medium,train
CASE-000077,TX000077,2024-11-04 8:08:22,AC00007,REC-0033,211.36,Samarinda,6472,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0843,low,validation
CASE-000078,TX000078,2024-11-04 8:11:36,AC00022,REC-0198,91.53,Batam,2171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.099,low,train
CASE-000079,TX000079,2024-11-04 8:06:50,AC00464,REC-0196,120.29,Padang,1371,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1906,low,test
CASE-000080,TX000080,2024-11-04 8:10:29,AC00014,REC-0240,174.25,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0873,low,train
CASE-000081,TX000081,2024-11-04 8:09:51,AC00406,REC-0271,183.71,Palembang,1671,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1064,low,train
CASE-000082,TX000082,2024-11-04 8:08:16,AC00445,REC-0129,345.39,Jakarta Selatan,3174,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2385,medium,train
CASE-000083,TX000083,2024-11-04 8:11:07,AC00236,REC-0284,922.55,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1659,low,train
CASE-000084,TX000084,2024-11-04 8:09:38,AC00220,REC-0006,259.91,Palembang,1671,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0855,low,test
CASE-000085,TX000085,2024-11-04 8:09:42,AC00140,REC-0059,154.71,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4651,high,train
CASE-000086,TX000086,2024-11-04 8:06:53,AC00098,REC-0275,1340.19,Bogor,3271,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.4672,high,train
CASE-000087,TX000087,2024-11-04 8:12:05,AC00303,REC-0137,24.56,Semarang,3374,0,None,Cleared,approve,P3,24,Transaction Monitoring,1,0.4033,medium,train
CASE-000088,TX000088,2024-11-04 8:07:32,AC00373,REC-0175,568.07,Bekasi,3275,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0953,low,validation
CASE-000089,TX000089,2024-11-04 8:09:10,AC00438,REC-0058,9.61,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.187,low,train
CASE-000090,TX000090,2024-11-04 8:08:38,AC00437,REC-0151,392.96,Samarinda,6472,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1862,low,train
CASE-000091,TX000091,2024-11-04 8:08:12,AC00106,REC-0223,716.93,Batam,2171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1116,low,train
CASE-000092,TX000092,2024-11-04 8:08:01,AC00310,REC-0081,223.85,Samarinda,6472,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,0,0.4125,medium,test
CASE-000093,TX000093,2024-11-04 8:10:44,AC00149,REC-0233,230.66,Jakarta Utara,3175,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.4044,medium,train
CASE-000094,TX000094,2024-11-04 8:08:21,AC00373,REC-0002,442.12,Denpasar,5171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.173,low,train
CASE-000095,TX000095,2024-11-04 8:08:04,AC00425,REC-0135,644.17,Surakarta,3372,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0528,low,validation
CASE-000096,TX000096,2024-11-04 8:09:32,AC00010,REC-0257,508.68,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1388,low,test
CASE-000097,TX000097,2024-11-04 8:10:47,AC00348,REC-0092,858.63,Pontianak,6171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0619,low,train
CASE-000098,TX000098,2024-11-04 8:11:05,AC00011,REC-0260,25.36,Jambi,1571,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1501,low,test
CASE-000099,TX000099,2024-11-04 8:07:22,AC00453,REC-0055,147.62,Palu,7271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.185,low,train
CASE-000100,TX000100,2024-11-04 8:08:38,AC00178,REC-0153,115.02,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0724,low,train
CASE-000101,TX000101,2024-11-04 8:11:07,AC00265,REC-0260,383.37,Yogyakarta,3471,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3255,medium,train
CASE-000102,TX002514,2024-11-04 8:10:02,AC00018,REC-0102,98.54,Sorong,9271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1275,low,train
CASE-000103,TX000103,2024-11-04 8:10:52,AC00075,REC-0079,83.24,Yogyakarta,3471,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1661,low,train
CASE-000104,TX000104,2024-11-04 8:08:32,AC00464,REC-0192,196.16,Bandung,3273,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2734,medium,train
CASE-000105,TX000105,2024-11-04 8:06:35,AC00170,REC-0083,129.94,Balikpapan,6471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1517,low,train
CASE-000106,TX000106,2024-11-04 8:10:48,AC00235,REC-0277,306.9,Tangerang Selatan,3674,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2499,medium,train
CASE-000107,TX000107,2024-11-04 8:09:24,AC00013,REC-0272,114.98,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1512,low,validation
CASE-000108,TX000108,2024-11-04 8:11:40,AC00397,REC-0166,756.59,Jayapura,9471,1,Card Cloning,Investigating,hold_for_review,P2,8,Card Fraud Ops,0,0.5665,high,train
CASE-000109,TX000109,2024-11-04 8:09:22,AC00423,REC-RING002,503.76,Denpasar,5171,1,Account Takeover (ATO),Closed-Confirmed Fraud,block_and_freeze,P2,8,ATO Response,1,0.756,high,train
CASE-000110,TX000110,2024-11-04 8:10:42,AC00154,REC-0186,143.03,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2118,medium,test
CASE-000111,TX002515,2024-11-04 8:07:35,AC00068,REC-0158,1045.22,Kendari,7471,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3059,medium,train
CASE-000112,TX000112,2024-11-04 8:10:26,AC00318,REC-0123,245.54,Kupang,5371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1809,low,train
CASE-000113,TX000113,2024-11-04 8:06:56,AC00396,REC-0030,254.37,Tangerang,3603,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0801,low,train
CASE-000114,TX000114,2024-11-04 8:09:36,AC00121,REC-0124,213.76,Tangerang,3603,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2188,medium,train
CASE-000115,TX000115,2024-11-04 8:06:30,AC00336,REC-0291,327.86,Jakarta Utara,3175,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0968,low,train
CASE-000116,TX000116,2024-11-04 8:09:53,AC00468,REC-0041,2.5,Tangerang Selatan,3674,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2418,medium,train
CASE-000117,TX000117,2024-11-04 8:12:18,AC00282,REC-0044,300.08,Bogor,3271,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1808,low,train
CASE-000118,TX000118,2024-11-04 8:07:42,AC00498,REC-0249,56.98,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1755,low,train
CASE-000119,TX000119,2024-11-04 8:07:42,AC00085,REC-0036,407.65,Malang,3573,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.135,low,validation
CASE-000120,TX000120,2024-11-04 8:10:02,AC00092,REC-0273,115.83,Jakarta Utara,3175,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.169,low,validation
CASE-000121,TX000121,2024-11-04 8:08:43,AC00295,REC-0065,53.57,Jakarta Utara,3175,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2294,medium,train
CASE-000122,TX000122,2024-11-04 8:10:13,AC00358,REC-0066,63.34,Jakarta Timur,3172,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1795,low,train
CASE-000123,TX000123,2024-11-04 8:11:32,AC00311,REC-0244,317.87,Jakarta Timur,3172,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3805,medium,test
CASE-000124,TX000124,2024-11-04 8:11:00,AC00066,REC-0282,331.65,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.289,medium,train
CASE-000125,TX000125,2024-11-04 8:10:48,AC00340,REC-0085,5.04,Bekasi,3275,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1159,low,validation
CASE-000126,TX000126,2024-11-04 8:11:56,AC00284,REC-0136,214.54,Jakarta Timur,3172,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.5039,high,validation
CASE-000127,TX000127,2024-11-04 8:10:13,AC00208,REC-0271,598.81,Ambon,8171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2116,low,train
CASE-000128,TX000128,2024-11-04 8:09:58,AC00176,REC-0217,841.28,Jakarta Barat,3173,1,Account Takeover (ATO),Closed-Confirmed Fraud,block_and_freeze,P2,8,ATO Response,1,0.6653,high,train
CASE-000129,TX000129,2024-11-04 8:07:42,AC00053,REC-0109,38.15,Semarang,3374,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.159,low,train
CASE-000130,TX000130,2024-11-04 8:09:24,AC00320,REC-0277,1036.66,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2718,medium,validation
CASE-000131,TX000131,2024-11-04 8:07:25,AC00382,REC-0103,124.72,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0853,low,train
CASE-000132,TX000132,2024-11-04 8:11:55,AC00384,REC-0160,302.45,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0606,low,train
CASE-000133,TX000133,2024-11-04 8:08:45,AC00203,REC-0205,208.04,Jambi,1571,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1109,low,train
CASE-000134,TX000134,2024-11-04 8:10:53,AC00498,REC-0192,5.77,Denpasar,5171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2494,medium,train
CASE-000135,TX000135,2024-11-04 8:09:32,AC00349,REC-0225,381.33,Bandar Lampung,1871,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0582,low,train
CASE-000136,TX000136,2024-11-04 8:11:59,AC00177,REC-0265,16.16,Batam,2171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,1,0.2296,medium,train
CASE-000137,TX000137,2024-11-04 8:07:03,AC00284,REC-0232,486.08,Bengkulu,1771,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.1028,low,train
CASE-000138,TX000138,2024-11-04 8:09:57,AC00272,REC-0062,336.39,Surakarta,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.196,low,train
CASE-000139,TX000139,2024-11-04 8:08:25,AC00405,REC-0127,997.43,Palangka Raya,6271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2249,low,train
CASE-000140,TX000140,2024-11-04 8:08:47,AC00385,REC-0116,234.57,Jakarta Pusat,3171,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.4878,medium,train
CASE-000141,TX000141,2024-11-04 8:09:43,AC00403,REC-0033,6.0,Jakarta Pusat,3171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.1054,low,train
CASE-000142,TX000142,2024-11-04 8:10:34,AC00114,REC-0174,1049.92,Jakarta Timur,3172,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.3503,medium,train
CASE-000143,TX000143,2024-11-04 8:11:34,AC00163,REC-0011,227.14,Palu,7271,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0417,low,validation
CASE-000144,TX000144,2024-11-04 8:11:17,AC00108,REC-0284,233.74,Bengkulu,1771,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.2617,medium,train
CASE-000145,TX000145,2024-11-04 8:07:21,AC00397,REC-0118,211.36,Solo,3372,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0747,low,validation
CASE-000146,TX000146,2024-11-04 8:07:24,AC00434,REC-0113,45.85,Denpasar,5171,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0846,low,train
CASE-000147,TX000147,2024-11-04 8:11:44,AC00385,REC-0004,973.39,Jayapura,9471,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.0797,low,train
CASE-000148,TX000148,2024-11-04 8:10:01,AC00161,REC-0037,211.36,Kupang,5371,0,None,Cleared,approve,P3,24,Transaction Monitoring,0,0.4115,medium,train
CASE-000149,TX000149,2024-11-04 8:10:23,AC00333,REC-0031,415.5,Banjarmasin,6371,0,None,Auto-Approved,approve,P4,72,Transaction Monitoring,0,0.2016,low,train
CASE-000150,TX000150,2024-11-04 8:12:18,AC00279,REC-0118,265.76,Ambon,8171,0,None,Cleared,approve,P4,72,Transaction Monitoring,0,0.0989,low,train
CASE-000151,TX000151,2024-11-04 8:09:04,AC00072,REC-0035,69.4,Bandung,3273,0,None,Auto-Approved,approve,P3,24,Transaction Monitoring,1,0.411,medium,test
